category,gender,marital_status,device,18-24,25-34,35-44,45-54,55+
Environment,F,married,android,0.6372549019607843,0.6818181818181818,0.6086956521739131,0.5714285714285714,0.5892857142857143
Environment,F,married,iOS,0.7670454545454546,0.719626168224299,0.6376811594202898,0.6166666666666667,0.7761194029850746
Environment,F,single,android,0.7228915662650602,0.7241379310344828,0.6428571428571429,0.5769230769230769,0.5641025641025641
Environment,F,single,iOS,0.75,0.6140350877192983,0.5873015873015873,0.6231884057971014,0.4444444444444444
Environment,M,married,android,0.71,0.6304347826086957,0.6666666666666666,0.6470588235294118,0.6428571428571429
Environment,M,married,iOS,0.735632183908046,0.6974789915966386,0.6695652173913044,0.7459016393442623,0.7096774193548387
Environment,M,single,android,0.6632653061224489,0.5918367346938775,0.5535714285714286,0.5964912280701754,0.64
Environment,M,single,iOS,0.7083333333333334,0.5576923076923077,0.640625,0.6129032258064516,0.6551724137931034
Environment,U,married,android,0.7058823529411765,0.5384615384615384,0.3333333333333333,0.3333333333333333,0.5882352941176471
Environment,U,married,iOS,0.6363636363636364,0.46153846153846156,0.6388888888888888,0.4864864864864865,0.4594594594594595
Environment,U,single,android,0.4878048780487805,0.21428571428571427,0.3333333333333333,0.29411764705882354,0.2777777777777778
Environment,U,single,iOS,0.6153846153846154,0.4166666666666667,0.5294117647058824,0.4,0.6666666666666666
Fashion,F,married,android,0.8118811881188119,0.8,0.6666666666666666,0.5142857142857142,0.7068965517241379
Fashion,F,married,iOS,0.8092485549132948,0.6509433962264151,0.7132352941176471,0.6370370370370371,0.6666666666666666
Fashion,F,single,android,0.7176470588235294,0.6862745098039216,0.5531914893617021,0.6274509803921569,0.5476190476190477
Fashion,F,single,iOS,0.6741573033707865,0.5789473684210527,0.6730769230769231,0.5535714285714286,0.5961538461538461
Fashion,M,married,android,0.7386363636363636,0.5531914893617021,0.559322033898305,0.7872340425531915,0.6976744186046512
Fashion,M,married,iOS,0.776536312849162,0.7984496124031008,0.696969696969697,0.7355371900826446,0.6896551724137931
Fashion,M,single,android,0.7628865979381443,0.5,0.6,0.5609756097560976,0.6764705882352942
Fashion,M,single,iOS,0.6746987951807228,0.53125,0.6885245901639344,0.5384615384615384,0.6440677966101694
Fashion,U,married,android,0.46511627906976744,0.45454545454545453,0.3684210526315789,0.38095238095238093,0.3076923076923077
Fashion,U,married,iOS,0.6,0.5263157894736842,0.3541666666666667,0.4722222222222222,0.3611111111111111
Fashion,U,single,android,0.6071428571428571,0.16666666666666666,0.11764705882352941,0.375,0.5555555555555556
Fashion,U,single,iOS,0.5588235294117647,0.6666666666666666,0.2631578947368421,0.5,0.2
Games,F,married,android,0.6907216494845361,0.6595744680851063,0.5957446808510638,0.5892857142857143,0.6909090909090909
Games,F,married,iOS,0.8011049723756906,0.7428571428571429,0.7768595041322314,0.7345132743362832,0.6484375
